ResponseId,Duration (in seconds),Q_prog_rate,Q_prog_exp,hint_type,stimulus_presentation,part_lbl,task,prog_num,desc_time,algo_time,hint_time,quantques1_time,quant2_time,quant3_time,quant4_time,quant_ques_af_exp_time,quant_ques_af_exp_time_avg,score_quant1,score_quant2,score_quant3,score_quant4,quant234_avg_score
R_10Gj97aUe3ccAu0,119.0,5.0,2.24,No Hint,Python,Confused,Average Rainfall,5,0.040983334,0.2672,0.0,0.18713333,0.07011666,0.0627,0.046816666,0.17963333,0.059877776,0.0,1.0,0.0,1.0,0.6666666666666666
R_10Gj97aUe3ccAu0,119.0,5.0,2.24,No Hint,Python,Confused,Fibonacci,5,0.024916667,0.05015,0.0,0.08991667,0.14523333,0.052916665,0.05888333,0.25703332,0.08567777,0.0,1.0,0.0,0.0,0.3333333333333333
R_10NQI6OM7Jd3xxr,1045.0,4.0,2.78,No Hint,Python,Clear,Count Pos Neg,1,0.6454833,3.0006666,0.0,1.3739499,0.29715002,0.29188335,0.06208333,0.65111667,0.21703888,1.0,0.0,0.0,0.0,0.0
R_10NQI6OM7Jd3xxr,1045.0,4.0,2.78,No Hint,Python,Clear,Average Rainfall,1,0.9562333,3.0037334,0.0,0.44481665,0.5876,2.6722834,0.8056667,4.06555,1.3551832,1.0,0.0,0.0,0.0,0.0
R_10SGjzO8pZ3JMj6,587.0,1.0,0.0,Conceptual,Python,Clear,Sum Positives,1,0.026433332,0.36283335,0.87345004,0.19735,0.20771667,0.19245,0.9427667,1.3429333,0.44764444,1.0,0.0,0.0,0.0,0.0
R_10SGjzO8pZ3JMj6,587.0,1.0,0.0,Conceptual,Python,Confused,Average Rainfall,1,0.021816667,0.12938334,0.43953332,0.65571666,0.18283334,1.9706,0.44453335,2.5979667,0.86598885,0.0,1.0,0.0,0.0,0.3333333333333333
R_11HZkHUwISdsHOy,1016.0,1.0,0.25,No Hint,Text,Confused,Fibonacci,5,0.8098833,3.0019667,0.0,0.2736,0.4351667,0.50343335,0.7202167,1.6588167,0.5529389,0.0,0.0,0.0,1.0,0.3333333333333333
R_11HZkHUwISdsHOy,1016.0,1.0,0.25,No Hint,Text,Clear,Palindrome,5,0.49496666,3.00155,0.0,0.693,0.19178334,0.89318335,0.9967,2.0816667,0.6938889,1.0,0.0,1.0,1.0,0.6666666666666666
R_11NUmlLH1nSamaZ,795.0,1.0,0.0,Conceptual,Text,Confused,Sum Positives,4,0.43351665,1.0418667,1.00035,1.4627666,0.19491667,0.5973333,0.53355,1.3258,0.44193333,0.0,0.0,1.0,1.0,0.6666666666666666
R_11NUmlLH1nSamaZ,795.0,1.0,0.0,Conceptual,Text,Clear,Palindrome,4,0.55955005,1.2765167,1.002,0.5222667,0.13305,0.73911667,0.7986,1.6707667,0.5569222,1.0,0.0,1.0,0.0,0.3333333333333333
R_11bvb9xZZjPHxbE,1211.0,1.0,0.0,Detailed Fix,Python,Clear,Average Rainfall,1,4.5877333,2.0192332,1.0005833,1.3114834,0.69935,0.8150833,1.15225,2.6666834,0.88889444,1.0,0.0,1.0,1.0,0.6666666666666666
R_11bvb9xZZjPHxbE,1211.0,1.0,0.0,Detailed Fix,Python,Clear,Palindrome,1,0.39033332,2.0006666,1.0022833,1.0936501,0.64765,0.341,0.37633333,1.3649833,0.45499447,1.0,1.0,0.0,1.0,0.6666666666666666
R_125mRWQ6yCD1mFj,960.0,1.0,0.0,Detailed Fix,Text,Clear,Fibonacci,2,0.31251666,2.0004334,1.00205,1.0713166,0.63483334,0.4412,0.29475,1.3707833,0.45692778,1.0,1.0,0.0,1.0,0.6666666666666666
R_125mRWQ6yCD1mFj,960.0,1.0,0.0,Detailed Fix,Text,Clear,Count Pos Neg,2,0.6957,2.0010333,1.0021,0.59326667,0.69921666,1.3824999,1.29545,3.3771667,1.1257223,1.0,0.0,1.0,0.0,0.3333333333333333
R_12Den55NdXM2lqi,343.0,2.0,1.58,Conceptual,Python,Clear,Fibonacci,4,0.13166668,0.20608333,0.21513334,1.0508,0.115499996,0.0748,0.12711667,0.31741667,0.10580555,1.0,1.0,1.0,1.0,1.0
R_12Den55NdXM2lqi,343.0,2.0,1.58,Conceptual,Python,Clear,Palindrome,4,0.1652,1.13735,0.27431667,0.14623334,0.24526666,0.29455,0.074533336,0.61435,0.20478334,1.0,0.0,0.0,1.0,0.3333333333333333
R_12JRXRBsOdGU9J6,1343.0,1.0,1.3,No Hint,Text,Clear,Count Pos Neg,2,1.2506667,3.0023,0.0,0.56219995,0.67233336,2.2885,2.7561834,5.7170167,1.9056722,1.0,0.0,1.0,1.0,0.6666666666666666
R_12JRXRBsOdGU9J6,1343.0,1.0,1.3,No Hint,Text,Clear,Fibonacci,2,1.1813333,3.0023334,0.0,0.76005,0.8089834,0.9622833,0.9447,2.7159665,0.9053222,1.0,1.0,1.0,1.0,1.0
R_15LNwflJqYj1tY3,1113.0,2.0,2.57,Detailed Fix,Python,Confused,Fibonacci,1,1.7497166,2.00035,0.5676,0.47075,0.19553334,1.06555,0.6242167,1.8852999,0.62843335,0.0,0.0,1.0,0.0,0.3333333333333333
