ResponseId,Duration (in seconds),Q_prog_rate,Q_prog_exp,hint_type,stimulus_presentation,part_lbl,task,prog_num,desc_time,algo_time,hint_time,quantques1_time,quant2_time,quant3_time,quant4_time,quant_ques_af_exp_time,quant_ques_af_exp_time_avg,score_quant1,score_quant2,score_quant3,score_quant4,quant234_avg_score
R_10Gj97aUe3ccAu0,119.0,5.0,2.24,No Hint,Python,Confused,"['Average Rainfall', 'Fibonacci']",5,0.0329500005,0.158675,0.0,0.138525,0.107674995,0.0578083325,0.0528499979999999,0.218333325,0.072777773,0.0,1.0,0.0,0.5,0.5
R_10NQI6OM7Jd3xxr,1045.0,4.0,2.78,No Hint,Python,Clear,"['Count Pos Neg', 'Average Rainfall']",1,0.8008583,3.0022,0.0,0.909383275,0.44237501,1.482083375,0.433875015,2.358333335,0.78611104,1.0,0.0,0.0,0.0,0.0
R_10SGjzO8pZ3JMj6,587.0,1.0,0.0,Conceptual,Python,Clear,Sum Positives,1,0.026433332,0.36283335,0.87345004,0.19735,0.20771667,0.19245,0.9427667,1.3429333,0.44764444,1.0,0.0,0.0,0.0,0.0
R_11HZkHUwISdsHOy,1016.0,1.0,0.25,No Hint,Text,Confused,Fibonacci,5,0.8098833,3.0019667,0.0,0.2736,0.4351667,0.50343335,0.7202167,1.6588167,0.5529389,0.0,0.0,0.0,1.0,0.3333333333333333
R_11NUmlLH1nSamaZ,795.0,1.0,0.0,Conceptual,Text,Clear,Palindrome,4,0.55955005,1.2765167,1.002,0.5222667,0.13305,0.73911667,0.7986,1.6707667,0.5569222,1.0,0.0,1.0,0.0,0.3333333333333333
R_11bvb9xZZjPHxbE,1211.0,1.0,0.0,Detailed Fix,Python,Clear,"['Average Rainfall', 'Palindrome']",1,2.48903331,2.0099499,1.0014333,1.20256675,0.6735,0.57804165,0.764291665,2.0158333500000003,0.671944455,1.0,0.5,0.5,1.0,0.6666666666666666
R_125mRWQ6yCD1mFj,960.0,1.0,0.0,Detailed Fix,Text,Clear,"['Fibonacci', 'Count Pos Neg']",2,0.50410833,2.00073335,1.002075,0.832291635,0.667025,0.91184995,0.7951,2.373975,0.79132504,1.0,0.5,0.5,0.5,0.5
R_12Den55NdXM2lqi,343.0,2.0,1.58,Conceptual,Python,Clear,"['Fibonacci', 'Palindrome']",4,0.14843334,0.671716665,0.244725005,0.59851667,0.180383328,0.1846749999999999,0.100825003,0.465883335,0.155294445,1.0,0.5,0.5,1.0,0.6666666666666666
R_12JRXRBsOdGU9J6,1343.0,1.0,1.3,No Hint,Text,Clear,"['Count Pos Neg', 'Fibonacci']",2,1.216,3.0023166999999997,0.0,0.661124975,0.74065838,1.62539165,1.8504417,4.2164916,1.4054972,1.0,0.5,1.0,1.0,0.8333333333333333
R_15LNwflJqYj1tY3,1113.0,2.0,2.57,Detailed Fix,Python,Clear,Palindrome,1,1.88975,2.00035,1.0004,0.26343334,0.25588334,0.21601668,0.10553333,0.57743335,0.19247778,1.0,0.0,1.0,0.0,0.3333333333333333
R_15d9T65AXJigABX,943.0,1.0,0.0,Conceptual,Python,Clear,"['Count Pos Neg', 'Fibonacci']",1,1.3214916,2.0019083,1.00018335,0.505775,0.423183335,0.3652583299999999,1.2211001149999998,2.0095416,0.6698472099999999,1.0,0.5,0.5,0.0,0.3333333333333333
R_15t68r2mRFrJCnc,424.0,2.0,0.0,Test Cases,Text,Clear,"['Average Rainfall', 'Palindrome']",4,0.705308345,1.352158275,0.25451667,0.338074985,0.137625005,0.103183335,0.161124995,0.401933345,0.133977778,1.0,1.0,1.0,0.5,0.8333333333333333
R_164P0LC7IqL0768,770.0,1.0,0.0,Conceptual,Python,Clear,"['Palindrome', 'Average Rainfall']",2,0.52034168,1.3396917,1.00130835,0.7588583250000001,0.431791675,0.2875,0.295850005,1.015141635,0.338380565,1.0,1.0,0.0,0.5,0.5
R_16AvimaNVaTocSd,423.0,1.0,0.02,Test Cases,Python,Confused,"['Count Pos Neg', 'Fibonacci']",2,0.467525,0.84595833,0.29678334,0.300275,0.22923334,0.22105,0.243975003,0.6942583200000001,0.231419455,0.0,0.5,1.0,0.5,0.6666666666666666
R_1772m59c3btQSQX,655.0,1.0,0.05,Conceptual,Python,Clear,"['Fibonacci', 'Count Pos Neg']",3,0.56077501,1.159441665,0.7342749749999999,0.59480002,0.21783334,0.40560001,0.470325,1.09375825,0.3645861,1.0,0.5,0.5,0.5,0.5
R_18U5vsaaMgwofYm,1099.0,2.0,0.72,Conceptual,Text,Clear,Fibonacci,2,0.38655,2.00035,1.0019833,1.5894666,0.8797167,1.2985168,0.37613335,2.5543666,0.85145557,1.0,0.0,1.0,1.0,0.6666666666666666
R_19J0QFQI08YM5pv,673.0,1.0,0.0,No Hint,Text,Clear,"['Count Pos Neg', 'Fibonacci']",2,0.369475015,0.667241625,0.0,0.595816675,1.4357501,1.39953335,0.41079165,3.24607495,1.0820251,1.0,0.5,0.5,1.0,0.6666666666666666
R_19nt1Ek8zdtAB8O,1376.0,1.0,0.25,Detailed Fix,Python,Clear,"['Palindrome', 'Count Pos Neg']",5,0.5643,2.00205835,1.00028335,0.21968333,0.37823333,0.6469750649999999,0.97470834,1.99991665,0.666638865,1.0,0.0,1.0,1.0,0.6666666666666666
R_1AMrsGHd6qhe4eK,344.0,1.0,0.0,Test Cases,Python,Confused,Average Rainfall,3,0.053933334,0.043233335,0.042850003,0.22616667,0.08111667,0.080450006,0.057216667,0.21878333,0.07292778,0.0,0.0,1.0,0.0,0.3333333333333333
R_1AMvyKelXx2pvuc,647.0,1.0,0.0,No Hint,Text,Clear,Fibonacci,1,0.39036667,1.2096,0.0,0.6440667,0.69238335,0.33576667,0.7268167,1.7549666,0.5849889,1.0,1.0,1.0,0.0,0.6666666666666666
R_1AYhdKz5snNbKF4,664.0,2.0,5.0,Test Cases,Text,Confused,Average Rainfall,4,1.1378,2.0002,1.0001333,1.2208833,0.31031665,0.67735,0.39491665,1.3825834,0.46086112,0.0,1.0,1.0,1.0,1.0
R_1Bxx1djuf7uLGmZ,1165.0,1.0,5.0,No Hint,Python,Clear,"['Fibonacci', 'Palindrome']",5,3.64523315,2.2726249000000003,0.0,0.26185834,0.24792501,0.918525015,0.6806083,1.8470583,0.6156860749999999,1.0,0.5,0.5,0.5,0.5
