ResponseId,Duration (in seconds),Q_prog_rate,Q_prog_exp,hint_type,stimulus_presentation,part_lbl,task,prog_num,desc_time,algo_time,hint_time,quantques1_time,quant2_time,quant3_time,quant4_time,quant_ques_af_exp_time,quant_ques_af_exp_time_avg,score_quant1,score_quant2,score_quant3,score_quant4,quant234_avg_score
R_12Den55NdXM2lqi,343.0,2.0,1.58,Conceptual,Python,Clear,['Fibonacci'],4,0.13166668,0.20608333,0.21513334,1.0508,0.115499996,0.0748,0.12711667,0.31741667,0.10580555,1.0,1.0,1.0,1.0,1.0
R_12JRXRBsOdGU9J6,1343.0,1.0,1.3,No Hint,Text,Clear,['Fibonacci'],2,1.1813333,3.0023334,0.0,0.76005,0.8089834,0.9622833,0.9447,2.7159665,0.9053222,1.0,1.0,1.0,1.0,1.0
R_15t68r2mRFrJCnc,424.0,2.0,0.0,Test Cases,Text,Clear,['Average Rainfall'],4,0.62338334,0.70353335,0.13246666,0.56831664,0.15841667,0.07541667,0.13669999,0.37053335,0.123511106,1.0,1.0,1.0,1.0,1.0
R_16AvimaNVaTocSd,423.0,1.0,0.02,Test Cases,Python,Confused,['Fibonacci'],2,0.5581167,1.0364833,0.36175,0.2649,0.21440001,0.2561,0.118983336,0.5894833,0.19649445,0.0,1.0,1.0,1.0,1.0
R_19J0QFQI08YM5pv,673.0,1.0,0.0,No Hint,Text,Clear,['Fibonacci'],2,0.19413333,0.36361665,0.0,0.88961667,2.1341002,1.0797333,0.1108,3.3246334,1.1082112,1.0,1.0,1.0,1.0,1.0
R_1AYhdKz5snNbKF4,664.0,2.0,5.0,Test Cases,Text,Confused,['Average Rainfall'],4,1.1378,2.0002,1.0001333,1.2208833,0.31031665,0.67735,0.39491665,1.3825834,0.46086112,0.0,1.0,1.0,1.0,1.0
R_1Bxx1djuf7uLGmZ,1165.0,1.0,5.0,No Hint,Python,Clear,['Palindrome'],5,0.87325,1.5449666,0.0,0.25473335,0.22328334,1.4416667,0.4525,2.11745,0.7058166,1.0,1.0,1.0,1.0,1.0
R_1BznOxFOxX3PMoY,973.0,1.0,0.49,Test Cases,Python,Clear,['Palindrome'],3,1.3142834,2.0001833,0.8631333,0.27031666,0.13341667,0.19105001,0.20286666,0.5273333,0.17577778,1.0,1.0,1.0,1.0,1.0
R_1D02YkKYNZIjyhj,4101.0,1.0,0.0,No Hint,Text,Clear,['Fibonacci'],5,1.3514333,0.77975,0.0,0.21583334,1.7002666,0.26846665,0.26216665,2.2309,0.74363333,1.0,1.0,1.0,1.0,1.0
R_1EFo4WB2Pthf0jz,1117.0,1.0,0.0,Conceptual,Text,Confused,['Average Rainfall'],1,0.7275167,2.0002666,1.0018667,0.77216667,0.24273333,0.7553333,0.7837166,1.7817833,0.59392774,0.0,1.0,1.0,1.0,1.0
R_1EosKWxYFIIf2mt,424.0,9.0,5.0,Conceptual,Python,Clear,['Sum Positives'],5,0.08501666,0.83466667,0.216,0.082783334,0.45548335,0.06643333,0.08146667,0.6033833,0.20112778,1.0,1.0,1.0,1.0,1.0
R_1F4pVniXCoGq4vY,959.0,5.0,4.01,Conceptual,Python,Clear,['Average Rainfall'],4,1.7365,2.0002832,1.0002333,0.76563334,0.235,0.24624999,0.20408334,0.6853333,0.22844444,1.0,1.0,1.0,1.0,1.0
R_1Gs2xPTgwBYegug,487.0,1.0,0.0,Conceptual,Python,Clear,['Palindrome'],1,0.26905,0.5646833,0.41228333,0.45895,0.15221667,0.1791,0.31395,0.64526665,0.21508889,1.0,1.0,1.0,1.0,1.0
R_1KrSKE7ASPeWWKV,1323.0,1.0,0.0,Conceptual,Python,Clear,['Palindrome'],1,1.3562,2.0022333,1.0007,0.7898333,0.36714998,1.1138834,0.44151667,1.92255,0.64085,1.0,1.0,1.0,1.0,1.0
R_1M0t0Eze2pypH9S,1655.0,1.0,0.05,Detailed Fix,Text,Confused,['Sum Positives'],2,2.6457167,2.0008168,1.0005167,0.43903333,0.97515,1.0644333,2.5841668,4.6237497,1.54125,0.0,1.0,1.0,1.0,1.0
